// Creator: RBR Ltd.,,,,,,,,,,,,,,,,,,
// Create time: 2024-06-14T16:00:22,,,,,,,,,,,,,,,,,,
// Instrument model firmware and serialID: RBRmaestro³ 1.15 231420,,,,,,,,,,,,,,,,,,
// Sample period: 0.5 second,,,,,,,,,,,,,,,,,,
// Processing history:,,,,,,,,,,,,,,,,,,
"//	231420_20240614_1557.rsk opened using pyRSKtools v1.1.1.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    pressure(dbar),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    chlorophyll-a(ug/l),    fdom(ppb),    turbidity(FTU),    voltage(V),    voltage1(V),    voltage2(V),    voltage3(V),    sea_pressure(dbar),    depth(m),    salinity(PSU),    speed_of_sound(m/s),    specific_conductivity(µS/cm),    dissolved_o2_saturation(%)
2024-06-11T07:13:16.500,0.003252364,15.20053101,10.00401592,12.48029995,259.2577515,11.79150009,42.0870018,1500,0.029604357,0.029609367,0.029569309,0.029585045,-0.128483772,-0.127436027,0.008546308,1466.652466,4.001283646,82.6803894
2024-06-11T07:13:17.000,0.002118128,15.21011353,10.00552845,12.48629951,258.8545837,11.79150009,42.09300232,1500,0.029605791,0.029608648,0.029569309,0.029583614,-0.126971245,-0.125935838,0.00816394,1466.685425,2.605281353,82.56867981
2024-06-11T07:13:17.500,0.003347461,15.21258545,10.00547791,12.48629951,258.8539429,11.81650066,42.10550308,1500,0.029602215,0.029607933,0.029571457,0.029579323,-0.12702179,-0.125985965,0.008586278,1466.69458,4.11711216,82.5730896
2024-06-11T07:13:18.000,0.002000748,15.21499634,10.00281525,12.49249935,259.0055237,11.80300045,42.10300064,1500,0.029602215,0.029609367,0.029570028,0.029584333,-0.129684448,-0.128626913,0.008130184,1466.702271,2.460622072,82.62551117
2024-06-11T07:13:18.500,0.002841986,15.20727539,10.00934315,12.49249935,259.0051575,11.80750084,42.0605011,1500,0.029602926,0.02960722,0.029572885,0.029581469,-0.123156548,-0.122152247,0.008402392,1466.676025,3.495854855,82.61177826
2024-06-11T07:13:19.000,0.003321495,15.20053101,10.00918293,12.4989996,259.9579163,11.80750084,42.0605011,1500,0.029602215,0.02960722,0.02957074,0.029581469,-0.123316765,-0.122311153,0.008571661,1466.652588,4.086332798,82.90370941
2024-06-11T07:13:19.500,0.002707754,15.2003479,10.00172424,12.4989996,259.9582214,11.81800079,42.06800079,1500,0.029602926,0.029607933,0.029570028,0.029580038,-0.130775452,-0.12970902,0.008352924,1466.651489,3.331281662,82.90335846
2024-06-11T07:13:20.000,0.002331053,15.20706177,10.00673199,12.50519943,259.4452515,11.78350067,42.04500198,1500,0.02960078,0.029609367,0.029569309,0.029582899,-0.125767708,-0.124742113,0.008230095,1466.674805,2.867382765,82.75167847
2024-06-11T07:13:20.500,0.002332856,15.20516968,10.00182152,12.50519943,259.4452209,11.79700089,42.05250168,1500,0.029602926,0.029610079,0.02957074,0.029582186,-0.130678177,-0.129612535,0.008229849,1466.668213,2.86972785,82.74829102
2024-06-11T07:13:21.000,0.002927967,15.20611572,9.999288559,12.51139927,259.4071045,11.79700089,42.05250168,1500,0.029603643,0.029611509,0.029573604,0.029580757,-0.133211136,-0.132124841,0.008432087,1466.671631,3.601715326,82.7379303
2024-06-11T07:13:21.500,0.002993439,15.21191406,10.00519562,12.51139927,259.4071045,11.78750038,42.05700302,1500,0.029602215,0.029607933,0.02957217,0.029582186,-0.127304077,-0.126265958,0.00845775,1466.692017,3.681751013,82.74826813
2024-06-11T07:13:22.000,0.003687277,15.21948242,10.00244713,12.51809978,258.5239258,11.81000042,42.07550049,1500,0.029602215,0.029611509,0.029569309,0.029580757,-0.130052567,-0.128992021,0.008716268,1466.718628,4.534325123,82.48014069
2024-06-11T07:13:22.500,0.001579425,15.21157837,9.999559402,12.51809978,258.5249939,11.81050014,42.03800201,1500,0.029602215,0.029607933,0.02957074,0.029582186,-0.132940292,-0.131856203,0.008008773,1466.690186,1.942614079,82.46607971
2024-06-11T07:13:23.000,0.00307171,15.18865967,10.00330925,12.52469921,259.0203552,11.81050014,42.03800201,1500,0.029605072,0.029609367,0.029568594,0.029581469,-0.129190445,-0.128136933,0.008475835,1466.611084,3.780085802,82.58352661
2024-06-11T07:13:23.500,0.002269607,15.17120361,9.997583389,12.52469921,259.0207825,11.81600094,42.05200195,1500,0.029605072,0.029612225,0.029574316,0.029584333,-0.134916306,-0.133816108,0.008194561,1466.549805,2.794153929,82.55243683
2024-06-11T07:13:24.000,0.002280972,15.16229248,10.00045586,12.53119946,259.2095032,11.80850029,42.0510025,1500,0.029603643,0.029610079,0.02957217,0.029579323,-0.132043839,-0.130967066,0.008194289,1466.518677,2.808734179,82.59671783
2024-06-11T07:13:24.500,0.002887821,15.15148926,10.00235176,12.53119946,259.209198,11.77400017,41.98800278,1500,0.02959935,0.029612225,0.029569309,0.029581469,-0.130147934,-0.129086614,0.008394574,1466.481445,3.55689621,82.57746887
2024-06-11T07:13:25.000,0.002654045,15.14807129,10.00603867,12.53809929,258.6478577,11.78000069,42.02800369,1500,0.029602215,0.029609367,0.029571457,0.029585045,-0.126461029,-0.125429779,0.008311946,1466.46936,3.269219875,82.39253235
2024-06-11T07:13:25.500,0.003008462,15.15286255,10.00514603,12.53809929,258.6476746,11.78000069,42.00500107,1500,0.029604357,0.029610796,0.029574316,0.029582899,-0.127353668,-0.126315132,0.008437962,1466.486206,3.705369234,82.40105438
2024-06-11T07:13:26.000,0.003280977,15.15905762,10.00498199,12.54469967,259.3437805,11.80900097,41.99350357,1500,0.029604357,0.029609367,0.029569309,0.029580038,-0.1275177,-0.126477838,0.00853934,1466.507935,4.040422916,82.63391876
2024-06-11T07:13:26.500,0.003303263,15.17678833,10.00483227,12.54469967,259.34375,11.79450035,42.00800323,1500,0.02960078,0.029609367,0.029570028,0.029580757,-0.127667427,-0.126626343,0.008554988,1466.569702,4.066171646,82.66550446
2024-06-11T07:13:27.000,0.003519792,15.21170044,10.00818062,12.5515995,259.3118286,11.7935009,41.97750092,1500,0.029605072,0.029609367,0.029570028,0.029584333,-0.124319077,-0.123305291,0.008649932,1466.691528,4.329155922,82.71762085
2024-06-11T07:13:27.500,0.002590795,15.2336731,9.999019623,12.5515995,259.3122559,11.7935009,41.97750092,1500,0.029603643,0.029610079,0.029571457,0.029580038,-0.133480072,-0.132391587,0.008327527,1466.767456,3.1848948,82.75675201
2024-06-11T07:13:28.000,0.002417428,15.23144531,9.99287796,12.55819988,258.2466431,11.7935009,41.97700119,1500,0.029602926,0.029605791,0.02957074,0.029580038,-0.139621735,-0.138483167,0.008268896,1466.759644,2.971929073,82.41269684
2024-06-11T07:13:28.500,0.002607621,15.2237854,10.00107002,12.55819988,258.2466125,11.78050041,42.02150345,1500,0.029604357,0.029608648,0.02957217,0.029581469,-0.131429672,-0.130357906,0.008328927,1466.733032,3.206323862,82.39911652
2024-06-11T07:13:29.000,0.00206301,15.22964478,10.00222015,12.56499958,259.2576599,11.7850008,41.98800278,1500,0.02960078,0.029610079,0.029571457,0.029583614,-0.130279541,-0.129217148,0.008155608,1466.753296,2.536323309,82.73204803
2024-06-11T07:13:29.500,0.00273271,15.22128296,10.00953293,12.56499958,259.2573853,11.7850008,41.98800278,1500,0.029602926,0.029612225,0.029572885,0.029584333,-0.122966766,-0.121964008,0.008370521,1466.724609,3.360330582,82.71717834
